Gene Symbol	Gene ID	Number of occurrences	Features	HPO IDs	HPO Match Score
GALNS	ENSG00000141012	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
GALT	ENSG00000213930	1	Bone fracture (0.7)	HP:0020110	0.7
GATA2	ENSG00000179348	1	Recurrent viral infections (0.85)	HP:0004429	0.85
GATA4	ENSG00000136574	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
GATA6	ENSG00000141448	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
GBA1	ENSG00000177628	2	Mitral valve calcification (0.85); Abnormal heart valve morphology (0.55)	HP:0004382; HP:0001654	0.85; 0.55
GDF5	ENSG00000125965	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
GFI1	ENSG00000162676	1	Recurrent viral infections (0.85)	HP:0004429	0.85
GLB1	ENSG00000170266	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
GLI1	ENSG00000111087	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
GLMN	ENSG00000174842	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
GNAS	ENSG00000087460	1	Bone fracture (0.7)	HP:0020110	0.7
GNPTAB	ENSG00000111670	2	Abnormal long bone morphology (0.7); Abnormal mitral valve morphology (0.7)	HP:0011314; HP:0001633	0.7; 0.7
GPC6	ENSG00000183098	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
GRIN2B	ENSG00000273079	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
GUF1	ENSG00000151806	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
GUSB	ENSG00000169919	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
HACD1	ENSG00000165996	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
HBB	ENSG00000244734	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
HGD	ENSG00000113924	2	Mitral valve calcification (0.85); Abnormal heart valve morphology (0.55)	HP:0004382; HP:0001654	0.85; 0.55
HLA-B	ENSG00000234745	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
HLA-DPB1	ENSG00000223865	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
HLA-DRB1	ENSG00000196126	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
HMBS	ENSG00000256269	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
HNF4A	ENSG00000101076	1	Flushing (0.85)	HP:0031284	0.85
HNRNPA1	ENSG00000135486	1	Abnormal long bone morphology (0.7)	HP:0011314	0.7
HNRNPA2B1	ENSG00000122566	1	Abnormal long bone morphology (0.7)	HP:0011314	0.7
HOGA1	ENSG00000241935	1	Abnormality of urine homeostasis (0.7)	HP:0003110	0.7
HPGD	ENSG00000164120	1	Flushing (0.85)	HP:0031284	0.85
HSPG2	ENSG00000142798	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
IDS	ENSG00000010404	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
IDUA	ENSG00000127415	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
IFIH1	ENSG00000115267	1	Mitral valve calcification (0.85)	HP:0004382	0.85
IFNG	ENSG00000111537	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
IKZF1	ENSG00000185811	1	Recurrent viral infections (0.85)	HP:0004429	0.85
IL12B	ENSG00000113302	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
IL2RA	ENSG00000134460	1	Recurrent viral infections (0.85)	HP:0004429	0.85
IL7R	ENSG00000168685	1	Recurrent viral infections (0.85)	HP:0004429	0.85
IRF9	ENSG00000213928	1	Recurrent viral infections (0.85)	HP:0004429	0.85
ISG15	ENSG00000187608	1	Recurrent viral infections (0.85)	HP:0004429	0.85
ITGA7	ENSG00000135424	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
ITGB6	ENSG00000115221	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
ITPR3	ENSG00000096433	1	Recurrent viral infections (0.85)	HP:0004429	0.85
JAK1	ENSG00000162434	1	Recurrent viral infections (0.85)	HP:0004429	0.85
JAK3	ENSG00000105639	1	Recurrent viral infections (0.85)	HP:0004429	0.85
KCNAB2	ENSG00000069424	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
KCNJ8	ENSG00000121361	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
KDM6A	ENSG00000147050	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
KIF1B	ENSG00000054523	1	Flushing (0.85)	HP:0031284	0.85
KIT	ENSG00000157404	1	Flushing (0.85)	HP:0031284	0.85
KMT2D	ENSG00000167548	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
KNSTRN	ENSG00000128944	1	Recurrent viral infections (0.85)	HP:0004429	0.85
KRAS	ENSG00000133703	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
KRT14	ENSG00000186847	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
KRT5	ENSG00000186081	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
KRT71	ENSG00000139648	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
LBR	ENSG00000143815	2	Generalized abnormality of skin (0.7); Fractured rib (0.382)	HP:0011354; HP:0041159	0.7; 0.382
LEF1	ENSG00000138795	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
LEMD2	ENSG00000161904	1	Femur fracture (0.39)	HP:0031846	0.39
LEMD3	ENSG00000174106	1	Abnormal long bone morphology (0.7)	HP:0011314	0.7
LETM1	ENSG00000168924	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
LMNA	ENSG00000160789	3	Mitral valve calcification (0.85); Abnormal mitral valve morphology (0.7); Generalized abnormality of skin (0.7)	HP:0004382; HP:0001633; HP:0011354	0.85; 0.7; 0.7
LRP5	ENSG00000162337	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
LSS	ENSG00000160285	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
LUZP1	ENSG00000169641	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
MAGT1	ENSG00000102158	1	Recurrent viral infections (0.85)	HP:0004429	0.85
MALT1	ENSG00000172175	1	Recurrent viral infections (0.85)	HP:0004429	0.85
MAN2B1	ENSG00000104774	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
MAOA	ENSG00000189221	1	Flushing (0.85)	HP:0031284	0.85
MAP1B	ENSG00000131711	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
MAP2K1	ENSG00000169032	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
MAP2K2	ENSG00000126934	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
MAP3K14	ENSG00000006062	1	Recurrent viral infections (0.85)	HP:0004429	0.85
MAP3K20	ENSG00000091436	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
MAX	ENSG00000125952	1	Flushing (0.85)	HP:0031284	0.85
MCM4	ENSG00000104738	1	Recurrent viral infections (0.85)	HP:0004429	0.85
MDH2	ENSG00000146701	1	Flushing (0.85)	HP:0031284	0.85
MLX	ENSG00000108788	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
